en;jp
Dimensions;寸法
Next station;次の駅
Train ID;列車ID
Cargo contents;貨物の内容
Fluid contents;流体内容
Contents;内容
Fuel;燃料
Ammo;弾薬
Walking speed;歩行速度
Used to build __1__.;__1__を建設するために使用
Robot limit;ロボット制限数
Charging stations;充電ステーション
Roboport;ロボットステーション
Max. robots;最大ロボット数
Charging spots;充電数
Last user;最終ユーザー
Players killed;死亡したプレイヤー
Neighbor bonus;隣接ボーナス
Products finished;生産したアイテム
Max. length;最大の長さ
Belt speed;搬送量
Items;アイテム
Accepted equipment;許可された装備
Placed in;配置
Storage volume;貯蔵量
Can filter items.;移動させるアイテムを指定できます。
Rotation speed;回転速度
Hand stack size;スタック容量
Acceleration;加速度
Top speed;最高速度
Spent result;使用後
Movement speed;ロボット移動速度
Vehicle speed;車両速度
Acceleration power;加速力
Rocket launch products;ロケット打ち上げ成果
Rocket parts;ロケット部品
Logistic connection distance;物流接続距離
Price;価格
Ammo consumption modifier;弾薬消費値
Status;状態
Cargo capacity;貨物容量
(not researched, hidden);(未研究、非表示)
(not researched);(未研究)
(hidden);(非表示)
Variation;バリエーション
__1__ (__2__ total);__1__(合計__2__)
Size;サイズ
Type;タイプ
Decorative;装飾
Decal;デカール
Contribution to nearby attacks at current evolution factor (__1__);現在の進化度 (__1__) での付近の攻撃への影響
Consumes __1__ pollution;汚染度 __1__ 吸収
Base productivity;基礎生産性
Research speed;研究速度
Shooting speed modifier;連射速度の調整
Range modifier;射程の調整
Logistic request;物流要求
Infinity filter;無限フィルター
Infinity mode;インフィニティモード
Logistic item;物流アイテム
__1__ of __2__;__1__ / __2__
Probability;確率
Chain shooting speed;連続連射速度
Enter the vehicle using __CONTROL__toggle-driving__.;__CONTROL__toggle-driving__で乗車します。
Train limit;列車の停止予定数制限
None;無
Working;作動中
Networks connected;送電ネットワーク接続中
Networks disconnected;送電ネットワーク切断中
No power;動力なし
Low temperature;熱不足
Charging;充電中
Discharging;放電中
Fully charged;充電完了
No fuel;燃料切れ
Out of logistic network;物流ネットワークの範囲外
No recipe;レシピ未設定
No ingredients;素材不足
No input fluid;流体入力なし
No research in progress;研究未実行
No minable resources;採掘可能な資源なし
Low input fluid;流体入力不足
Low power;エネルギー不足
Not connected to rail;レールに未接続
Cannot divide segments;レールの分割不可
Disabled by control behavior;無効(作動条件による)
Closed by circuit network;回路ネットワークにより閉鎖
Opened by circuit network;回路ネットワークにより開放
Disabled by script;無効(スクリプトによる)
Disabled:;このテクノロジーは研究できません。
Turned off during daytime;日中はオフ
Fluid ingredient shortage;流体入力不足
Fluid production overload;流体生産過剰
Item ingredient shortage;素材不足
Output full;生産過剰
Burnt result output full;燃焼生成物で出力が満杯です
Marked for deconstruction;解体予定
Missing required fluid;流体入力不足
Missing science packs;サイエンスパック不足
Waiting for source items;材料待ち
Waiting for space in destination;運搬先の容量不足
Preparing rocket for launch;ロケット発射準備中
Waiting to launch rocket;ロケット打ち上げを待機中
Launching rocket;ロケット発射中
No modules to transmit;モジュールが装着されていません
Recharging after power outage;放電後の充電中
Waiting for target to be built;目標物が生成されるのを待っています
Waiting for train;列車を待っています
Not plugged in electric network;電気ネットワークに接続されていません
Connection;接続
Connected to __1__;__1__ と接続中
Not connected;未接続
Idle;待機
Shooting;射撃中
Moving (__1__);移動中(__1__)
Segment;セグメント
Block;ブロック
Trains in block;ブロック内の列車
Segment position;セグメントの位置
Front rail;前端
Back rail;後端
Tools;ツール
Panels;パネル
Page __1__/__2__;__1__/__2__ ページ
__1__: select;__1__: 選択
__1__: next tab;__1__: 次のタブ
__1__: previous tab;__1__: 前のタブ
__1__: next page;__1__: 次のページ
__1__: previous page;__1__: 前のページ
Expand;展開
Collapse;折りたたむ
Failed to reach auth server. Code: __1__. Error: __2__.;認証サーバに到達できません。コード：__1__，エラー：__2__。
Given username is too short (min. 2 characters).;ユーザー名が短すぎます (最短2文字).
Given username is too long (max. 30 characters).;ユーザー名が長すぎます (最長30文字).
Your username contains invalid characters. Please only use letters, numbers, and the characters ._-;ユーザー名に無効な文字が含まれています。半角英数字および._-（ピリオド、アンダーバー、ハイフン）のみ使用可能 ._-
Given username is already registered. Please choose a different one, or log in if it is yours.;ユーザー名はすでに登録されています。その他のユーザー名を使用するか、自分のユーザー名ならログインしてください。
Verifying Steam user ticket failed. Please ensure you're logged into Steam and try again.;Steamユーザーチケットの検証に失敗しました。Steamにログインしていることを確かめてからもう一度試してください。
Your Steam account is already linked to an existing Factorio.com account. Please log in using your Factorio account instead.;Steamアカウントは既に既存のFactorio.comアカウントにリンクされています。代わりにFactorioアカウントを使用してログインしてください.
Your Steam account does not own Factorio. Please buy the game in order to create an account.;あなたのSteamアカウントはFactorioを所持していません。アカウントを作るにはゲームを購入してください。
Given username or email and password do not match any account.;入力された内容に一致するアカウントが存在しません。
The given Factorio.com account is a Steam-only account. Please log in with Steam or visit __1__ to set a password.;このFactorio.comアカウントはSteam専用アカウントです。Steamでログインするか__1__を開いてパスワードを設定してください。
